Date,Open,High,Low,Close,Adj Close,Volume
2017-07-01,null,null,null,null,null,null
2017-08-01,1.847000,1.857000,1.672000,1.707000,1.707000,0
2017-09-01,1.709000,1.939000,1.618000,1.928000,1.928000,0
2017-10-01,1.939000,2.089000,1.898000,2.010000,2.010000,0
2017-11-01,2.033000,2.156000,1.975000,2.144000,2.144000,0
2017-12-01,2.124000,2.261000,2.068000,2.206000,2.206000,0
2018-01-01,2.228000,2.551000,2.223000,2.524000,2.524000,0
2018-02-01,2.544000,2.682000,2.461000,2.650000,2.650000,0
2018-03-01,2.612000,2.734000,2.550000,2.562000,2.562000,0
2018-04-01,2.587000,2.852000,2.535000,2.789000,2.789000,0
2018-05-01,2.812000,2.941000,2.571000,2.664000,2.664000,0
2018-06-01,2.738000,2.869000,2.695000,2.731000,2.731000,0
2018-07-01,2.709000,2.772000,2.706000,2.752000,2.752000,0
2018-07-10,2.759000,2.769000,2.754000,2.762000,2.762000,0
